Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
How do you replace coolant thermostat,3,30.0,-7.25
How is library science vand information science related,2,20.0,0.0
Which phase is the non dividing stage,2,20.0,-49.0
How much has michael vick worth after release from prison,2,20.0,-25.0
How can you get rid of dog fleas,1,10.0,1
This is the third largest oceans,2,20.0,-64.0
What is kristen steawerts brothers name,4,40.0,-9.8
What type of relief is the coastal plains,2,20.0,-8.0
What do the word anteroposterior means,4,40.0,-3.3
Does selena gomez have verizon wireless for her cell phone,0,0.0,0
What is winston churchills big achievements,2,20.0,-19.0
What is the value of a 1988 barbie collectible,1,10.0,0
Who does sleaner gomez love,0,0.0,0
How many books selling online,1,10.0,0
How much anderson shelters cost in ww2,1,10.0,0
What is an exzmple of soliloquy,5,50.0,-1.25
Who invented first electirc stove and when,3,30.0,-6.5
What kind of cells make electricity from light,2,20.0,-4.0
Advantages and disadvantages of a bank,1,10.0,1
What is the difference between an electrician and an electrical engineer,0,0.0,0
What is the sequence to obtain a DNA fingerprint,3,30.0,-4.25
Where is nadia comasneci 's academy the perfect ten,1,10.0,0
One pound of confectioners sugar equals how many ounces,1,10.0,0
What skills are needed to become a surgeon to be successful,1,10.0,0
How much does a 1996 chevy lumina weigh,2,20.0,-1.0
The precipitaion of a cougar,0,0.0,0
What are the Functions of proteins to the body,2,20.0,-4.0
How much did the vietnam war cost per day,4,40.0,-6.2
Largest living life on earth,2,20.0,-16.0
The twinkling of stars is caused by,2,20.0,-19.0
What kind of music is listened toin costa rica,5,50.0,-3.05
Width of a football field in yards,2,20.0,-9.0
What is revolution of the sun,1,10.0,0
How do snakes adapt to there enviornment,0,0.0,0
Lil wayne 's favorite type of movie,1,10.0,0
Where to get legendary pokemon on tppcrpg,3,30.0,-5.25
What is moon jelly a radial or bilateral,0,0.0,0
Does she love corbin blu,1,10.0,0
What is grammatical cohesion,1,10.0,1
What family does a lizard come from,2,20.0,-25.0
How much do event planners make yearly,4,40.0,-4.1
What did the person that invented the first motor bike look like,4,40.0,-0.8999999999999999
What are some cloven hooved animals,0,0.0,0
1963 five dollar bill with red serial numbers,3,30.0,0.75
How do you get rid of acene fast,3,30.0,-9.25
What is a moderately slow oven,0,0.0,0
Are Lea and cory dating,0,0.0,0
What are some commensasm relationships,4,40.0,-1.7000000000000002
Where are the Black Hills located,4,40.0,-0.8
What caused worldwide economic crisis,1,10.0,0
Where does a snowstorm less likely happen,0,0.0,0
Class action lawsuit,5,50.0,-0.25
Stratified random sampling,0,0.0,0
Number of quarters in a roll,2,20.0,-16.0
Who was in spains first government,4,40.0,0.30000000000000004
What si social darwinism,3,30.0,0.25
Persecution of the christian church,3,30.0,-9.5
Where does saltwater sponges live,0,0.0,0
The photic zone has an maximum depth of,0,0.0,0
Blue and pink make what,0,0.0,0
What are the various irrigation practices in the villages,1,10.0,0
How do you care for newborn pitbull pups,0,0.0,0
10 common defects characteristics in timber,3,30.0,-20.5
What are chinas important landmarks,1,10.0,1
What are utahs four largest cities,0,0.0,0
What are two powers that the legislative branch has,0,0.0,0
Branches on every division of philosophy,2,20.0,-15.0
What do the people in lebanon speak,1,10.0,0
What is the reason for the novel The Da Vinci Code,0,0.0,0
How many millimeter in one liter,4,40.0,-2.5
What language do people speak in Angola,3,30.0,-3.5
How can you delete your millsberry,0,0.0,0
Would be a key to preventing future genocide,0,0.0,0
How many teaspoons in one half ounce liquid,2,20.0,-19.0
What are some cheerleading facts,3,30.0,-11.25
When is the coast guard day celebrated,6,60.0,-1.1714285714285713
How far away it is from mercury,2,20.0,-15.0
Code for rip jaws in dna,0,0.0,0
Worlds largest chicken,2,20.0,-25.0
What is the postal code of kentucky,4,40.0,-3.2
What creates a sandstorm,2,20.0,-1.0
How much does a pound of marijuana cost in the us,0,0.0,0
How do you get the keys in sleuthhound,2,20.0,-25.0
Where is the largest bridgewho built itwhat kind of bridge is it,1,10.0,0
Apakah kraf tangan yang dibuat pada kain songket,1,10.0,0
Why does a carbonated drink become flat when left open,2,20.0,0.0
Why sacrifice must environment to achieve development,0,0.0,0
How many atoms are contained in eachmolecule of sulfuric acid,2,20.0,-52.0
Who is the most famous african american mathmatician,4,40.0,-0.8
What kind of cultures do chile have,4,40.0,-1.0
Gas was used for balloons long time ago,2,20.0,-9.0
Can someone infected with syphillis get symptoms a week later,1,10.0,0
Can dogs eat pomegranite seeds,1,10.0,0
Really interesting facts about hernando cortez,3,30.0,0.25
What language ia used in greece,4,40.0,0.0
Who is the most famous artist in guatemala,4,40.0,-4.9
What are some fun sex games,1,10.0,0
How does an elephant attract its mate,2,20.0,-16.0
How many calories in cooked beef,3,30.0,-11.5
How many years do you need to go to college to be a cop,0,0.0,0
Averages,1.85,18.5,-5.641214285714285
